Index	Time	Actin Mean base+0	Actin Area base+0	Actin Mean base+1	Actin Area base+1	Actin Mean base+2	Actin Area base+2	Actin Mean base+3	Actin Area base+3	Actin Mean base+4	Actin Area base+4	Actin Mean base+5	Actin Area base+5	Actin Mean base+6	Actin Area base+6	Actin Mean base+7	Actin Area base+7	Actin Mean base+8	Actin Area base+8	Actin Mean base+9	Actin Area base+9	Actin Mean base+10	Actin Area base+10
104.000	0.000	2302.393	2.477	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
105.000	0.000	2485.100	2.875	2270.639	3.980	1947.072	4.312	1683.517	3.295	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
106.000	0.000	1609.820	1.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
107.000	0.000	2214.976	6.567	2503.067	11.166	2753.738	9.375	2941.218	6.589	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108.000	0.000	1974.897	1.725	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
109.000	0.000	1593.246	1.526	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
110.000	0.000	2121.720	2.211	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
111.000	0.000	1920.167	1.459	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112.000	0.000	2417.690	3.427	1820.538	2.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
113.000	0.000	2457.370	1.791	2303.490	2.123	2116.255	3.295	1707.841	2.499	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
114.000	0.000	1851.515	2.189	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
115.000	0.000	1812.389	1.592	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
116.000	0.000	1936.816	1.680	1794.889	0.199	1769.304	0.509	1693.143	0.464	1821.430	1.747	1778.867	0.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
117.000	0.000	1889.978	0.995	1758.778	0.199	1709.333	1.327	1690.765	3.759	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
118.000	0.000	2073.988	3.715	2057.155	2.432	1712.780	4.113	1423.778	0.398	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
119.000	0.000	1985.314	3.737	1962.822	3.228	1962.319	1.592	1709.265	0.752	1674.269	0.575	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
120.000	0.000	2087.106	3.118	1885.132	3.693	1544.916	3.405	1393.133	0.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
121.000	0.000	1906.473	2.056	1714.488	2.808	1387.244	0.995	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
122.000	0.000	1751.134	1.481	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
123.000	0.000	2499.015	2.985	2253.763	3.737	1927.843	4.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
124.000	0.000	2067.649	3.847	1868.591	3.516	1350.000	0.199	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
125.000	0.000	2027.270	2.211	1858.130	1.194	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
126.000	0.000	1466.983	1.282	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
127.000	0.000	1779.861	2.698	1529.526	0.840	1510.258	1.459	1493.267	0.663	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
128.000	0.000	2554.931	3.538	2501.280	5.130	2126.022	4.091	1920.142	2.653	1976.910	4.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
129.000	0.000	1991.228	2.034	1640.048	0.929	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
130.000	0.000	2013.505	2.145	1714.186	1.548	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
